chain,project,symbol,tvlUsd,apyBase,apyReward,apy,rewardTokens,pool,apyPct1D,apyPct7D,apyPct30D,stablecoin,ilRisk,exposure,predictions,poolMeta,mu,sigma,count,outlier,underlyingTokens,il7d,apyBase7d,apyMean30d,volumeUsd1d,volumeUsd7d,apyBaseInception
Arbitrum,pendle,SUSDAI,6610580,7.8857,,7.8857,,49f18f1e-f9c4-435a-9875-8a5314660a69,0.69742,0.33896,,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 67, 'binnedConfidence': 2}",For buying PT-sUSDai-18JUN2026,7.58154,0.04313,12,False,['0x0b2b2b2076d95dda7817e785989fe353fe955ef9'],,,7.70132,,,
Ethereum,pendle,STCUSD,6462643,4.44926,0.12894,4.5782,['0x808507121b80c02388fad14726482e061b8da827'],3527f1de-4e6f-4519-8c0e-cc2299b8fb56,-0.01228,-0.39006,-4.82882,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 72, 'binnedConfidence': 2}",For LP | Maturity 23JUL2026,7.18032,0.11197,37,False,"['0x2d3c279e5fcdf5b793c0a75ed90738d7369b0b83', '0x27010ce8d14b4e73ef48af1cf9a5a91e8356d10f']",,,7.22651,137.08169,11810.29914,
Ethereum,pendle,STCUSD,6462643,5.01166,,5.01166,,6c42a59f-dcee-40f4-9698-d1912dfaba6d,0.03395,0.02639,-2.09689,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 60, 'binnedConfidence': 1}",For buying PT-stcUSD-23JUL2026,6.01301,0.05343,37,False,['0x88887be419578051ff9f4eb6c858a951921d8888'],,,5.76501,,,
Ethereum,pendle,USD(MIDASMHYPER),5821349,10.4629,0.31664,10.77954,['0x808507121b80c02388fad14726482e061b8da827'],072c4d05-fede-48ab-bebf-fe2cadb77355,4.21575,2.59875,1.78809,False,no,single,"{'predictedClass': 'Down', 'predictedProbability': 61, 'binnedConfidence': 2}",For LP | Maturity 30APR2026,9.78787,0.1283,42,False,"['0xd87169640666649f1e6f92034dca9e4ae748de69', '0x457904b54f47dd7a91253f225237a5b02ca059d6']",,,8.96993,0.0,0.0,
Ethereum,pendle,USD(MIDASMHYPER),5821349,8.14979,,8.14979,,05967b79-df01-4ec3-a926-06949be91252,0.156,-0.38966,-0.97815,False,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 71, 'binnedConfidence': 2}",For buying PT-USD (Midas mHYPER)-30APR2026,8.49456,0.03426,42,False,['0x9b5528528656dbc094765e2abb79f293c21191b9'],,,8.34877,,,
Ethereum,pendle,WSTETH,5684821,2.37968,0.03758,2.41726,['0x808507121b80c02388fad14726482e061b8da827'],9b68a0d6-2c7f-4b18-b115-97d3ffbb2eb0,0.00866,-0.04535,-0.28085,False,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 62, 'binnedConfidence': 2}",For LP | Maturity 25JUN2026,2.88073,0.01836,78,False,"['0x9ce6478ef45bb1baac69efd8a3ea0ed110a43042', '0xcbc72d92b2dc8187414f6734718563898740c0bc']",,,2.65897,0.0,0.0,
Ethereum,pendle,WSTETH,5684821,2.49218,,2.49218,,86b8d98a-2478-4bf8-86d9-a845f1e215ae,0.0027,0.0027,0.22626,False,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 57.99999999999999, 'binnedConfidence': 1}",For buying PT-wstETH-25JUN2026,2.39803,0.01019,78,False,['0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0'],,,2.43851,,,
Ethereum,pendle,SIUSD,5346838,5.5572,,5.5572,,ff52ce20-f6e0-47e5-9840-519dbdbb9619,0.00088,-0.16287,-1.32099,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 60, 'binnedConfidence': 1}",For buying PT-siUSD-26MAR2026,6.70022,0.04238,49,False,['0xdbdc1ef57537e34680b898e1febd3d68c7389bcb'],,,6.37091,,,
Ethereum,pendle,SIUSD,5346838,4.68156,0.17662,4.85818,['0x808507121b80c02388fad14726482e061b8da827'],7d1e5e5d-996f-423d-b210-62fc16e4a567,-0.15628,-0.20945,-1.30823,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 61, 'binnedConfidence': 2}",For LP | Maturity 26MAR2026,5.96714,0.04048,49,False,"['0xaf76b3af3477e4a2cd0b7f80c3152108c19a25e5', '0x9f30507c264cc6eb5be35b18ff9ad7b4539aa920']",,,5.74188,0.0,13722.42554,
Ethereum,pendle,REUSDE,4659242,13.10112,,13.10112,,0cac92be-caaa-4cec-8f5a-712629a588c8,0.02446,-0.41439,-0.38885,True,no,single,"{'predictedClass': 'Down', 'predictedProbability': 51, 'binnedConfidence': 1}",For buying PT-reUSDe-25JUN2026,13.73604,0.02795,72,False,['0xddc0f880ff6e4e22e4b74632fbb43ce4df6ccc5a'],,,13.39496,,,
